Start Time (EpMin),Stop Time (EpMin),Duration (min),to Sat,from sat,Is Ascending
31.87023333,39.4554,7.585166667,504,102,0
31.87051667,39.45563333,7.585116667,404,502,0
33.17168333,40.75655,7.584866667,507,105,1
33.17171667,40.75673333,7.585016667,107,205,1
33.17193333,40.75708333,7.58515,407,505,1
33.172,40.75736667,7.585366667,207,305,1
33.17213333,40.75758333,7.58545,307,405,1
35.01135,42.59673333,7.585383333,111,209,1
35.01135,42.59678333,7.585433333,211,309,1
35.01186667,42.59705,7.585183333,511,109,1
35.01186667,42.59713333,7.585266667,311,409,1
35.01218333,42.5973,7.585116667,411,509,1
36.31331667,43.89818333,7.584866667,514,112,0
36.31336667,43.89838333,7.585016667,114,212,0
36.3136,43.89875,7.58515,414,512,0
36.31366667,43.89906667,7.5854,214,312,0
36.31381667,43.89928333,7.585483333,314,412,0
38.15298333,45.73836667,7.585383333,103,201,0
38.15298333,45.73843333,7.585433333,203,301,0
38.15355,45.73871667,7.585166667,503,101,0
38.15355,45.73881667,7.585266667,303,401,0
38.1539,45.73898333,7.585083333,403,501,0
39.45495,47.0398,7.584833333,506,104,1
39.455,47.04,7.585,106,204,1
39.45525,47.0404,7.585133333,406,504,1
39.45533333,47.04073333,7.5854,206,304,1
39.4555,47.04098333,7.585483333,306,404,1
41.29461667,48.88001667,7.5854,110,208,1
41.29461667,48.88006667,7.58545,210,308,1
41.29523333,48.88038333,7.58515,510,108,1
41.29523333,48.88048333,7.58525,310,408,1
41.2956,48.88066667,7.585066667,410,508,1
42.5966,50.18141667,7.584816667,513,111,0
42.59665,50.18165,7.585,113,211,0
42.59691667,50.18205,7.585133333,413,511,0
42.597,50.18241667,7.585416667,213,311,0
42.59716667,50.18268333,7.5855,313,411,0
44.43623333,52.02165,7.5854,102,215,0
44.43623333,52.02171667,7.585466667,202,315,0
44.4369,52.02205,7.58515,502,115,0
44.4369,52.02215,7.58525,302,415,0
44.4373,52.02235,7.58505,402,515,0
45.73823333,53.32306667,7.584816667,505,103,1
45.7383,53.3233,7.585,105,203,1
45.73858333,53.32373333,7.58515,405,503,1
45.73868333,53.32411667,7.58545,205,303,1
45.73885,53.3244,7.585533333,305,403,1
47.57786667,55.16335,7.585483333,209,307,1
47.57788333,55.16328333,7.5854,109,207,1
47.57856667,55.16381667,7.58525,309,407,1
47.57858333,55.1637,7.585116667,509,107,1
47.579,55.16403333,7.585033333,409,507,1
48.87986667,56.46468333,7.5848,512,110,0
48.87993333,56.46493333,7.585,112,210,0
48.88025,56.4654,7.58515,412,510,0
48.88035,56.4658,7.585466667,212,310,0
48.88053333,56.46608333,7.58555,312,410,0
50.71951667,58.30491667,7.585416667,101,214,0
50.71951667,58.305,7.585483333,201,314,0
50.72026667,58.30536667,7.5851,501,114,0
50.72026667,58.30548333,7.585233333,301,414,0
50.72071667,58.30571667,7.584983333,401,514,0
52.02151667,59.60631667,7.5848,504,102,1
52.02158333,59.60658333,7.585,104,202,1
52.0219,59.60708333,7.585166667,404,502,1
52.02201667,59.6075,7.585483333,204,302,1
52.02221667,59.6078,7.585583333,304,402,1
53.86108333,61.44656667,7.585466667,108,206,1
53.86108333,61.44663333,7.58555,208,306,1
53.86188333,61.44703333,7.58515,508,106,1
53.86188333,61.44715,7.585266667,308,406,1
53.86236667,61.4474,7.585016667,408,506,1
55.16315,62.7479,7.58475,511,109,0
55.16321667,62.74818333,7.58495,111,209,0
55.16356667,62.7487,7.585116667,411,509,0
55.16368333,62.74915,7.585466667,211,309,0
55.1639,62.74946667,7.585566667,311,409,0
57.00275,64.58828333,7.585516667,215,313,0
57.00276667,64.5882,7.58545,115,213,0
57.0036,64.5887,7.585083333,515,113,0
57.0036,64.58881667,7.585216667,315,413,0
57.00411667,64.58908333,7.58495,415,513,0
58.30478333,65.88953333,7.584733333,503,101,1
58.30486667,65.88983333,7.584966667,103,201,1
58.30523333,65.89036667,7.585133333,403,501,1
58.30535,65.89085,7.5855,203,301,1
58.30558333,65.89118333,7.5856,303,401,1
60.14435,67.72983333,7.585483333,107,205,1
60.14435,67.72991667,7.585583333,207,305,1
60.14523333,67.73035,7.585116667,507,105,1
60.14523333,67.73048333,7.58525,307,405,1
60.14578333,67.73075,7.584966667,407,505,1
61.44643333,69.03115,7.584716667,510,108,0
61.4465,69.03145,7.58495,110,208,0
61.4469,69.03201667,7.585133333,410,508,0
61.44701667,69.03253333,7.585516667,210,308,0
61.44726667,69.03288333,7.585616667,310,408,0
63.286,70.87148333,7.585483333,114,212,0
63.286,70.87156667,7.585566667,214,312,0
63.28693333,70.87201667,7.585083333,514,112,0
63.28693333,70.87216667,7.585233333,314,412,0
63.2875,70.87243333,7.584933333,414,512,0
64.58806667,72.17275,7.584683333,502,115,1
64.58815,72.17308333,7.584933333,102,215,1
64.58855,72.17366667,7.585116667,402,515,1
64.58868333,72.1742,7.585516667,202,315,1
64.58893333,72.17456667,7.585616667,302,415,1
66.42761667,74.01311667,7.5855,106,204,1
66.42761667,74.01321667,7.5856,206,304,1
66.42858333,74.01383333,7.585233333,306,404,1
66.4286,74.01368333,7.585083333,506,104,1
66.4292,74.01411667,7.584916667,406,504,1
67.7297,75.31436667,7.584666667,509,107,0
67.72978333,75.31471667,7.584916667,109,207,0
67.73021667,75.31533333,7.585116667,409,507,0
67.73035,75.31588333,7.585516667,209,307,0
67.73061667,75.31626667,7.585633333,309,407,0
69.56921667,77.15475,7.585533333,113,211,0
69.56921667,77.15485,7.585633333,213,311,0
69.57023333,77.1555,7.58525,313,411,0
69.57025,77.15533333,7.5851,513,111,0
69.57088333,77.1558,7.584916667,413,511,0
70.87135,78.45601667,7.584666667,501,114,1
70.87143333,78.45636667,7.584933333,101,214,1
70.87188333,78.45701667,7.585133333,401,514,1
70.87203333,78.45758333,7.585566667,201,314,1
70.8723,78.45798333,7.585683333,301,414,1
72.71085,80.2964,7.585533333,105,203,1
72.71085,80.2965,7.58565,205,303,1
72.71191667,80.29716667,7.58525,305,403,1
72.71193333,80.297,7.585066667,505,103,1
72.71258333,80.29748333,7.584883333,405,503,1
74.01298333,81.5976,7.584616667,508,106,0
74.01306667,81.59796667,7.584883333,108,206,0
74.01355,81.59863333,7.585083333,408,506,0
74.0137,81.59923333,7.585533333,208,306,0
74.01398333,81.59963333,7.58565,308,406,0
75.85248333,83.43803333,7.58555,112,210,0
75.85248333,83.43813333,7.585666667,212,310,0
75.8536,83.43866667,7.585066667,512,110,0
75.8536,83.43883333,7.585233333,312,410,0
75.85428333,83.43916667,7.584866667,412,510,0
77.15461667,84.73923333,7.584616667,515,113,1
77.15471667,84.73961667,7.5849,115,213,1
77.1552,84.74031667,7.5851,415,513,1
77.15536667,84.74093333,7.585566667,215,313,1
77.15566667,84.74135,7.585683333,315,413,1
78.99406667,86.57966667,7.5856,104,202,1
