satID,Second,Data Bits Generated,Data Bits Generated
303,649,TRUE,0
304,649,TRUE,0
401,649,TRUE,820800
402,649,TRUE,1659840
403,649,TRUE,839040
513,649,TRUE,0
514,649,TRUE,1659840
515,649,TRUE,1659840
303,650,TRUE,0
304,650,TRUE,0
401,650,TRUE,857280
402,650,TRUE,857280
403,650,TRUE,0
513,650,TRUE,0
514,650,TRUE,857280
515,650,TRUE,857280
303,651,TRUE,0
304,651,TRUE,0
401,651,TRUE,1696320
402,651,TRUE,2517120
403,651,TRUE,820800
513,651,TRUE,0
514,651,TRUE,2517120
515,651,TRUE,2517120
303,652,TRUE,0
304,652,TRUE,0
401,652,TRUE,0
402,652,TRUE,875520
403,652,TRUE,875520
513,652,TRUE,0
514,652,TRUE,875520
515,652,TRUE,875520
303,653,TRUE,0
304,653,TRUE,0
401,653,TRUE,0
402,653,TRUE,857280
403,653,TRUE,857280
513,653,TRUE,0
514,653,TRUE,857280
515,653,TRUE,857280
303,654,TRUE,0
304,654,TRUE,0
401,654,TRUE,0
402,654,TRUE,0
403,654,TRUE,0
513,654,TRUE,0
514,654,TRUE,0
515,654,TRUE,0
303,655,TRUE,0
304,655,TRUE,0
401,655,TRUE,0
402,655,TRUE,0
403,655,TRUE,0
513,655,TRUE,0
514,655,TRUE,0
515,655,TRUE,0
303,656,TRUE,0
304,656,TRUE,0
401,656,TRUE,875520
402,656,TRUE,1769280
403,656,TRUE,893760
513,656,TRUE,0
514,656,TRUE,1769280
515,656,TRUE,1769280
303,657,TRUE,0
304,657,TRUE,0
401,657,TRUE,0
402,657,TRUE,0
403,657,TRUE,0
513,657,TRUE,0
514,657,TRUE,0
515,657,TRUE,0
303,658,TRUE,0
304,658,TRUE,0
401,658,TRUE,0
402,658,TRUE,0
403,658,TRUE,0
513,658,TRUE,0
514,658,TRUE,0
515,658,TRUE,0
303,659,TRUE,0
304,659,TRUE,0
401,659,TRUE,893760
402,659,TRUE,1805760
403,659,TRUE,912000
513,659,TRUE,0
514,659,TRUE,1805760
515,659,TRUE,1805760
303,660,TRUE,0
304,660,TRUE,875520
401,660,TRUE,875520
402,660,TRUE,875520
403,660,TRUE,0
513,660,TRUE,0
514,660,TRUE,875520
515,660,TRUE,0
303,661,TRUE,0
304,661,TRUE,0
401,661,TRUE,0
402,661,TRUE,0
403,661,TRUE,0
513,661,TRUE,0
514,661,TRUE,0
515,661,TRUE,0
303,662,TRUE,0
304,662,TRUE,875520
401,662,TRUE,875520
402,662,TRUE,875520
403,662,TRUE,0
513,662,TRUE,0
514,662,TRUE,875520
515,662,TRUE,0
303,663,TRUE,0
304,663,TRUE,0
401,663,TRUE,0
402,663,TRUE,0
403,663,TRUE,0
513,663,TRUE,0
514,663,TRUE,0
515,663,TRUE,0
303,664,TRUE,0
304,664,TRUE,820800
401,664,TRUE,820800
402,664,TRUE,820800
403,664,TRUE,0
513,664,TRUE,0
514,664,TRUE,820800
515,664,TRUE,0
303,665,TRUE,0
304,665,TRUE,0
401,665,TRUE,0
402,665,TRUE,2553600
403,665,TRUE,0
513,665,TRUE,0
514,665,TRUE,2553600
515,665,TRUE,2553600
303,666,TRUE,0
304,666,TRUE,1751040
401,666,TRUE,1751040
402,666,TRUE,1751040
403,666,TRUE,0
513,666,TRUE,0
514,666,TRUE,1751040
515,666,TRUE,0
303,667,TRUE,0
304,667,TRUE,0
401,667,TRUE,0
402,667,TRUE,857280
403,667,TRUE,0
513,667,TRUE,0
514,667,TRUE,857280
515,667,TRUE,857280
303,668,TRUE,0
304,668,TRUE,893760
401,668,TRUE,893760
402,668,TRUE,893760
403,668,TRUE,0
513,668,TRUE,0
514,668,TRUE,893760
515,668,TRUE,0
303,669,TRUE,0
304,669,TRUE,0
401,669,TRUE,0
402,669,TRUE,1751040
403,669,TRUE,0
513,669,TRUE,0
514,669,TRUE,1751040
515,669,TRUE,1751040
303,670,TRUE,0
304,670,TRUE,0
401,670,TRUE,0
402,670,TRUE,0
403,670,TRUE,0
513,670,TRUE,0
514,670,TRUE,0
515,670,TRUE,0
303,671,TRUE,0
304,671,TRUE,0
401,671,TRUE,0
402,671,TRUE,0
403,671,TRUE,0
513,671,TRUE,0
514,671,TRUE,0
515,671,TRUE,0
303,672,TRUE,0
304,672,TRUE,0
401,672,TRUE,0
402,672,TRUE,0
403,672,TRUE,0
513,672,TRUE,0
514,672,TRUE,0
515,672,TRUE,0
303,673,TRUE,0
304,673,TRUE,0
401,673,TRUE,0
402,673,TRUE,0
403,673,TRUE,0
513,673,TRUE,0
514,673,TRUE,0
515,673,TRUE,0
303,674,TRUE,0
304,674,TRUE,0
401,674,TRUE,0
402,674,TRUE,0
403,674,TRUE,0
513,674,TRUE,0
514,674,TRUE,0
515,674,TRUE,0
303,675,TRUE,0
304,675,TRUE,0
401,675,TRUE,0
402,675,TRUE,0
403,675,TRUE,0
513,675,TRUE,0
514,675,TRUE,0
515,675,TRUE,0
303,676,TRUE,0
304,676,TRUE,0
401,676,TRUE,0
402,676,TRUE,0
403,676,TRUE,0
513,676,TRUE,0
514,676,TRUE,0
515,676,TRUE,0
303,677,TRUE,0
304,677,TRUE,0
401,677,TRUE,0
402,677,TRUE,0
403,677,TRUE,0
513,677,TRUE,0
514,677,TRUE,0
515,677,TRUE,0
303,678,TRUE,0
304,678,TRUE,0
401,678,TRUE,0
402,678,TRUE,0
403,678,TRUE,0
513,678,TRUE,0
514,678,TRUE,0
515,678,TRUE,0
303,679,TRUE,0
304,679,TRUE,0
401,679,TRUE,0
402,679,TRUE,0
403,679,TRUE,0
513,679,TRUE,0
514,679,TRUE,0
515,679,TRUE,0
303,680,TRUE,0
304,680,TRUE,0
401,680,TRUE,0
402,680,TRUE,0
403,680,TRUE,0
513,680,TRUE,0
514,680,TRUE,0
515,680,TRUE,0
303,681,TRUE,0
304,681,TRUE,0
401,681,TRUE,0
402,681,TRUE,0
403,681,TRUE,0
513,681,TRUE,0
514,681,TRUE,0
515,681,TRUE,0
303,682,TRUE,0
304,682,TRUE,0
401,682,TRUE,0
402,682,TRUE,0
403,682,TRUE,0
513,682,TRUE,0
514,682,TRUE,0
515,682,TRUE,0
303,683,TRUE,0
304,683,TRUE,0
401,683,TRUE,0
402,683,TRUE,0
403,683,TRUE,0
513,683,TRUE,0
514,683,TRUE,0
515,683,TRUE,0
303,684,TRUE,0
