Start Time (EpMin),Stop Time (EpMin),to Sat,from sat,Is Ascending
0.005,12900,308,406,1
0.005,12900,315,413,1
0.005,12900,411,509,1
0.005,12900,408,506,1
0,0.01,314,315,1
0,0.01,308,309,1
0,0.01,408,409,1
0,0.01,410,411,1
0,0.01,506,507,1
0,0.01,508,509,1
