satID,Second,Data Bits Generated,Data Bits Generated.1
303,695,True,0
304,695,True,0
401,695,True,228000
402,695,True,228000
403,695,True,0
513,695,True,0
514,695,True,228000
515,695,True,0
303,696,True,0
304,696,True,0
401,696,True,0
402,696,True,0
403,696,True,0
513,696,True,0
514,696,True,0
515,696,True,0
303,697,True,0
304,697,True,0
401,697,True,205200
402,697,True,205200
403,697,True,0
513,697,True,0
514,697,True,205200
515,697,True,0
303,698,True,0
304,698,True,0
401,698,True,209760
402,698,True,209760
403,698,True,0
513,698,True,0
514,698,True,209760
515,698,True,0
303,699,True,0
304,699,True,0
401,699,True,0
402,699,True,0
403,699,True,0
513,699,True,0
514,699,True,0
515,699,True,0
303,700,True,0
304,700,True,0
401,700,True,223440
402,700,True,223440
403,700,True,0
513,700,True,0
514,700,True,223440
515,700,True,0
303,701,True,0
304,701,True,0
401,701,True,0
402,701,True,0
403,701,True,0
513,701,True,0
514,701,True,0
515,701,True,0
303,702,True,0
304,702,True,0
401,702,True,0
402,702,True,0
403,702,True,0
513,702,True,0
514,702,True,0
515,702,True,0
303,703,True,0
304,703,True,0
401,703,True,0
402,703,True,0
403,703,True,0
513,703,True,0
514,703,True,0
515,703,True,0
303,704,True,0
304,704,True,0
401,704,True,0
402,704,True,0
403,704,True,0
513,704,True,0
514,704,True,0
515,704,True,0
303,705,True,0
304,705,True,0
401,705,True,0
402,705,True,0
403,705,True,0
513,705,True,0
514,705,True,0
515,705,True,0
303,706,True,0
304,706,True,0
401,706,True,0
402,706,True,0
403,706,True,0
513,706,True,0
514,706,True,0
515,706,True,0
303,707,True,0
304,707,True,0
401,707,True,0
402,707,True,0
403,707,True,0
513,707,True,0
514,707,True,0
515,707,True,0
303,708,True,0
304,708,True,0
401,708,True,0
402,708,True,0
403,708,True,0
513,708,True,0
514,708,True,0
515,708,True,0
303,709,True,0
304,709,True,0
401,709,True,0
402,709,True,0
403,709,True,0
513,709,True,0
514,709,True,0
515,709,True,0
303,710,True,0
304,710,True,0
401,710,True,0
402,710,True,0
403,710,True,0
513,710,True,0
514,710,True,0
515,710,True,0
303,711,True,0
304,711,True,0
401,711,True,0
402,711,True,0
403,711,True,0
513,711,True,0
514,711,True,0
515,711,True,0
303,712,True,0
304,712,True,0
401,712,True,0
402,712,True,0
403,712,True,0
513,712,True,0
514,712,True,0
515,712,True,0
303,713,True,0
304,713,True,0
401,713,True,0
402,713,True,0
403,713,True,0
513,713,True,0
514,713,True,0
515,713,True,0
303,714,True,0
304,714,True,0
401,714,True,0
402,714,True,0
403,714,True,0
513,714,True,0
514,714,True,0
515,714,True,0
303,715,True,0
304,715,True,0
401,715,True,0
402,715,True,0
403,715,True,0
513,715,True,0
514,715,True,0
515,715,True,0
303,716,True,0
304,716,True,0
401,716,True,0
402,716,True,0
403,716,True,0
513,716,True,0
514,716,True,0
515,716,True,0
303,717,True,0
304,717,True,0
401,717,True,0
402,717,True,0
403,717,True,0
513,717,True,0
514,717,True,0
515,717,True,0
303,718,True,0
304,718,True,0
401,718,True,428640
402,718,True,428640
403,718,True,0
513,718,True,0
514,718,True,428640
515,718,True,0
303,719,True,0
304,719,True,0
401,719,True,0
402,719,True,0
403,719,True,0
513,719,True,0
514,719,True,0
515,719,True,0
303,720,True,0
304,720,True,0
401,720,True,0
402,720,True,0
403,720,True,0
513,720,True,0
514,720,True,0
515,720,True,0
303,721,True,0
304,721,True,0
401,721,True,218880
402,721,True,218880
403,721,True,0
513,721,True,0
514,721,True,218880
515,721,True,0
303,722,True,0
304,722,True,0
401,722,True,223440
402,722,True,223440
403,722,True,0
513,722,True,0
514,722,True,223440
515,722,True,0
303,723,True,0
304,723,True,0
401,723,True,223440
402,723,True,223440
403,723,True,0
513,723,True,0
514,723,True,223440
515,723,True,0
303,724,True,0
304,724,True,0
401,724,True,0
402,724,True,0
403,724,True,0
513,724,True,0
514,724,True,0
515,724,True,0
303,725,True,0
304,725,True,0
401,725,True,218880
402,725,True,218880
403,725,True,0
513,725,True,0
514,725,True,218880
515,725,True,0
303,726,True,0
304,726,True,0
401,726,True,0
402,726,True,0
403,726,True,0
513,726,True,0
514,726,True,0
515,726,True,0
303,727,True,0
304,727,True,0
401,727,True,0
402,727,True,0
403,727,True,0
513,727,True,0
514,727,True,0
515,727,True,0
303,728,True,0
304,728,True,0
401,728,True,0
402,728,True,0
403,728,True,0
513,728,True,0
514,728,True,0
515,728,True,0
303,729,True,0
304,729,True,0
401,729,True,0
402,729,True,0
403,729,True,0
513,729,True,0
514,729,True,0
515,729,True,0
303,730,True,0
304,730,True,0
401,730,True,0
402,730,True,0
403,730,True,0
513,730,True,0
514,730,True,0
515,730,True,0
303,731,True,0
304,731,True,0
401,731,True,0
402,731,True,0
