satID,Second,Data Bits Generated,Data Bits Generated
403,665,TRUE,0
513,665,TRUE,0
514,665,TRUE,652080
515,665,TRUE,209760
109,666,TRUE,0
110,666,TRUE,0
111,666,TRUE,0
207,666,TRUE,0
208,666,TRUE,0
209,666,TRUE,0
303,666,TRUE,0
304,666,TRUE,0
306,666,TRUE,0
401,666,TRUE,0
402,666,TRUE,0
403,666,TRUE,0
513,666,TRUE,0
514,666,TRUE,0
515,666,TRUE,0
109,667,TRUE,0
110,667,TRUE,0
111,667,TRUE,0
207,667,TRUE,0
208,667,TRUE,0
209,667,TRUE,0
303,667,TRUE,0
304,667,TRUE,0
306,667,TRUE,0
401,667,TRUE,0
402,667,TRUE,214320
403,667,TRUE,0
513,667,TRUE,0
514,667,TRUE,214320
515,667,TRUE,214320
109,668,TRUE,0
110,668,TRUE,0
111,668,TRUE,0
207,668,TRUE,0
208,668,TRUE,0
209,668,TRUE,0
303,668,TRUE,0
304,668,TRUE,228000
306,668,TRUE,0
401,668,TRUE,228000
402,668,TRUE,228000
403,668,TRUE,0
513,668,TRUE,0
514,668,TRUE,228000
515,668,TRUE,0
109,669,TRUE,0
110,669,TRUE,0
111,669,TRUE,0
207,669,TRUE,0
208,669,TRUE,0
209,669,TRUE,0
303,669,TRUE,0
304,669,TRUE,223440
306,669,TRUE,0
401,669,TRUE,223440
402,669,TRUE,893760
403,669,TRUE,0
513,669,TRUE,0
514,669,TRUE,893760
515,669,TRUE,670320
109,670,TRUE,0
110,670,TRUE,164160
111,670,TRUE,214320
207,670,TRUE,0
208,670,TRUE,214320
209,670,TRUE,214320
303,670,TRUE,0
304,670,TRUE,0
306,670,TRUE,0
401,670,TRUE,0
402,670,TRUE,0
403,670,TRUE,0
513,670,TRUE,0
514,670,TRUE,0
515,670,TRUE,0
109,671,TRUE,0
110,671,TRUE,168720
111,671,TRUE,223440
207,671,TRUE,0
208,671,TRUE,223440
209,671,TRUE,223440
303,671,TRUE,0
304,671,TRUE,0
306,671,TRUE,0
401,671,TRUE,0
402,671,TRUE,0
403,671,TRUE,0
