Start Time (EpMin),Stop Time (EpMin),to Sat,from sat,Is Ascending
0.005,12900,115,213,1
0.005,12900,108,206,0
0.005,12900,211,309,1
0.005,12900,215,313,1
0,0.01,107,108,1
0,0.01,101,115,1
0,0.01,214,215,1
0,0.01,213,214,1
0,0.01,312,313,1
0,0.01,309,310,1
